event_id,event_start,event_end,event_total_mm,peak_1hr_mm,duration_hours,wet_hours,avg_intensity,peak_ratio,rain_72h_prior,typhoon_season,cluster_id,PC1,PC2
775,2003-05-25 07:00:00,2003-05-30 10:00:00,85.421,7.301,124,91,0.9387,0.0855,1.416,0,0,-0.1265658425007289,-0.9670963830554884
786,2003-06-13 10:00:00,2003-06-17 01:00:00,318.828,21.824,88,75,4.251,0.0685,2.875,1,2,3.596401042217337,-0.8759837821066597
804,2003-07-06 20:00:00,2003-07-08 14:00:00,26.988,4.884,43,25,1.0795,0.181,0.69,1,0,-1.3804158994377325,-0.8440948807175576
807,2003-07-16 06:00:00,2003-07-17 12:00:00,45.491,11.049,31,23,1.9779,0.2429,0.0,1,0,-0.6464089469112371,-0.8147691156463029
810,2003-07-20 18:00:00,2003-07-23 03:00:00,111.64,12.557,58,45,2.4809,0.1125,6.868,1,1,0.4066045689565275,-0.680263561039846
813,2003-07-24 17:00:00,2003-07-26 00:00:00,22.654,6.825,32,16,1.4159,0.3013,36.823,1,1,-1.3204236959723197,0.3201996622793483
835,2003-08-15 03:00:00,2003-08-19 15:00:00,68.273,8.729,109,64,1.0668,0.1279,1.593,1,0,-0.257530933176031,-0.9210580814187596
848,2003-08-31 22:00:00,2003-09-03 10:00:00,65.856,9.334,61,40,1.6464,0.1417,13.161,1,0,-0.4259109433254879,-0.487359655837129
858,2003-09-11 19:00:00,2003-09-12 22:00:00,27.257,5.738,28,22,1.239,0.2105,4.09,1,0,-1.3858654294800925,-0.7084492740556678
877,2003-09-29 01:00:00,2003-09-29 19:00:00,33.856,10.213,19,10,3.3856,0.3017,24.62,1,0,-0.6506794397806581,-0.0108309572346098
887,2003-10-11 05:00:00,2003-10-12 01:00:00,24.467,9.248,21,9,2.7186,0.378,29.338,1,1,-0.9641428485188824,0.1414725311866887
888,2003-10-12 17:00:00,2003-10-14 15:00:00,47.322,12.679,47,23,2.0575,0.2679,44.533,1,1,-0.3905657483776055,0.5449514471974164
889,2003-10-14 21:00:00,2003-10-18 01:00:00,114.845,10.085,77,60,1.9141,0.0878,47.322,1,1,0.2623652502230603,0.5202469600011184
893,2003-10-19 19:00:00,2003-10-21 01:00:00,23.142,4.255,31,13,1.7802,0.1839,26.433,1,0,-1.4063032053278004,-0.0272089001143807
907,2003-11-06 10:00:00,2003-11-07 16:00:00,33.886,10.878,31,16,2.1179,0.321,12.581,1,0,-0.7743953367078378,-0.4056206932241752
911,2003-11-11 14:00:00,2003-11-12 07:00:00,69.085,15.158,18,13,5.3142,0.2194,2.161,1,1,0.4687598532566802,-0.6959608735884301
912,2003-11-13 07:00:00,2003-11-14 23:00:00,91.007,10.353,41,31,2.9357,0.1138,69.085,1,1,0.0257840668521656,1.2648166691595844
921,2003-12-09 10:00:00,2003-12-10 02:00:00,27.831,12.081,17,8,3.4789,0.4341,0.0,0,0,-0.6131462369560091,-0.7294955944024204
922,2003-12-11 07:00:00,2003-12-13 05:00:00,41.065,9.499,47,29,1.416,0.2313,27.831,0,1,-0.8112997047036807,0.0090030412840836
939,2004-01-24 02:00:00,2004-01-26 04:00:00,30.388,7.441,51,27,1.1255,0.2449,5.842,0,0,-1.11346782946708,-0.6760794989843455
951,2004-02-20 11:00:00,2004-02-22 17:00:00,243.522,59.416,55,38,6.4085,0.244,0.867,0,2,6.058041268739227,-0.7033498522473636
957,2004-03-06 22:00:00,2004-03-07 07:00:00,23.686,6.935,10,5,4.7372,0.2928,1.77,0,0,-0.8031233668311883,-0.6954131438066073
962,2004-03-18 13:00:00,2004-03-20 13:00:00,104.498,8.339,49,33,3.1666,0.0798,1.63,0,1,0.0912111477093797,-0.8383287204283443
976,2004-04-28 02:00:00,2004-04-29 12:00:00,45.949,13.058,35,18,2.5527,0.2842,12.368,0,0,-0.3632872831871718,-0.4188396353990211
986,2004-05-09 10:00:00,2004-05-11 10:00:00,38.471,8.98,49,31,1.241,0.2334,12.24,0,0,-0.9001477337227517,-0.4759072599690616
988,2004-05-15 15:00:00,2004-05-18 15:00:00,331.501,37.775,73,66,5.0227,0.114,0.269,0,2,5.028955834537082,-0.8775635607245961
993,2004-05-21 05:00:00,2004-05-21 22:00:00,22.33,5.897,18,12,1.8608,0.2641,11.611,0,0,-1.3857044743897398,-0.4428084109872623
1000,2004-05-31 17:00:00,2004-06-01 16:00:00,73.829,8.113,24,19,3.8857,0.1099,34.271,0,1,-0.2376409454534604,0.2246482920134427
1003,2004-06-04 01:00:00,2004-06-04 23:00:00,31.176,4.89,23,17,1.8339,0.1569,48.556,1,1,-1.3070933256370116,0.6589581925064396
1009,2004-06-08 18:00:00,2004-06-10 02:00:00,25.822,4.585,33,18,1.4346,0.1776,7.325,1,0,-1.4076430152817403,-0.6234337266133846
1013,2004-06-13 08:00:00,2004-06-13 23:00:00,42.915,25.248,16,8,5.3644,0.5883,5.866,1,1,0.8691870874112319,-0.4623071374459951
1024,2004-06-25 08:00:00,2004-06-28 05:00:00,59.904,7.161,70,49,1.2225,0.1195,0.897,1,0,-0.6709976544003942,-0.8908293236697651
1031,2004-07-06 19:00:00,2004-07-07 05:00:00,38.3,12.722,11,6,6.3833,0.3322,0.232,1,1,0.0996890505014661,-0.7066730396831273
1037,2004-07-14 04:00:00,2004-07-16 04:00:00,28.874,4.395,49,25,1.155,0.1522,0.0,1,0,-1.337303710443929,-0.8809601238471312
1042,2004-07-20 14:00:00,2004-07-21 17:00:00,39.918,8.443,28,18,2.2177,0.2115,2.833,1,0,-0.8653845479138547,-0.7330514243331199
1048,2004-07-28 07:00:00,2004-07-30 00:00:00,37.958,7.411,42,24,1.5816,0.1952,12.16,1,0,-0.99220813900807,-0.4775752014692752
1053,2004-08-01 17:00:00,2004-08-02 19:00:00,61.674,20.731,27,16,3.8546,0.3361,15.994,1,1,0.5739364400909058,-0.2548605359026437
1056,2004-08-06 07:00:00,2004-08-07 20:00:00,65.203,6.868,38,32,2.0376,0.1053,15.463,1,0,-0.6825766576155032,-0.3952404659699557
1058,2004-08-09 11:00:00,2004-08-12 03:00:00,22.794,2.619,65,32,0.7123,0.1149,66.546,1,1,-1.4974892541542095,1.1307146999191515
1061,2004-08-14 08:00:00,2004-08-17 17:00:00,42.28,6.929,82,51,0.829,0.1639,17.978,1,0,-0.8701402315688329,-0.3708030243374391
1084,2004-09-15 11:00:00,2004-09-17 01:00:00,101.158,29.387,39,29,3.4882,0.2905,15.005,1,1,1.6580233856537965,-0.3043799684649553
1090,2004-09-29 07:00:00,2004-10-01 09:00:00,77.898,18.692,51,31,2.5128,0.24,0.818,1,1,0.4945700722280141,-0.8012005746288635
1091,2004-10-01 17:00:00,2004-10-04 01:00:00,44.087,3.589,57,40,1.1022,0.0814,77.898,1,1,-1.1834897693019828,1.484026911524407
